Title,SKU,Price,Title,Keyword,B1,B2,B3,B4,B5,,,Picture to add
Mid Summer Ass-Kick Blend,MSM-1CF,135.96,Mid Summer Ass-Kick Organic Fertilizer – High-Power Soil Amendment for Summer Gardening,"summer garden booster, heat stress plant fertilizer, mid season fertilizer, organic recovery soil, lawn summer rescue, summer fertilizer organic, vegetable booster mid year, tired garden fix, heatwave soil amendment, seasonal plant stress, fast acting organic fertilizer, summer compost blend, organic greening fertilizer, plant recovery mix, backyard growth booster","⚡ Mid-Season Power Boost: Recharges plants during summer stress, heatwaves, and nutrient dips.","🌿 Concentrated for Fast Results: Works quickly to green up tired, heat-stressed plants.","🔥 Formulated for Tough Conditions: Ideal for gardens, lawns, vegetables, and ornamentals during mid-year peaks.","💪 Resilient Growth Formula: Promotes root strength, photosynthesis, and immune response.","✅ Natural Ingredients: 100% organic and safe for pets, pollinators, and food crops.",,,
Mikey's Worm Poop Organic Dairy Vermicompost Worm Castings,MWP-1CF,111.96,"Mikey’s Worm Poop – Organic Dairy Vermicompost Fertilizer Worm Castings for Gardens, Pots & Soil Health - superior to standard compost and more bioavailable","worm castings, vermicompost fertilizer, organic worm compost, dairy worm poop, garden soil booster, worm compost for seedlings, seedling success soil, potting mix additive, black gold compost, worm manure, worm poop organic, natural plant fertilizer, compost for pots, raised bed amendment, pure worm castings","🪱 100% Worm Castings: Made from organic dairy compost, naturally digested by happy worms.",🌱 Boosts Germination & Growth: Improves seedling success and plant vitality at all stages.,💧 Moisture-Retentive & Nutrient-Rich: Enhances soil structure and holds nutrients in the root zone.,"🌿 Safe for All Plants: Ideal for vegetables, houseplants, flowers, herbs, and trees.","♻️ Odor-Free & Pure: No fillers, no chemicals—just rich, black worm poop.",,,
Oasis Blend Concentrated Organic Soil Amendment Fertilizer for Palm & Date trees,OAS-9LB,33.99,Oasis Blend Organic Fertilizer for Palm & Date Trees – Soil Amendment for Tropical Landscapes,"palm tree fertilizer, date tree fertilizer, tropical tree soil, sandy soil amendment, palm soil blend, coconut tree compost, exotic tree fertilizer, palm root booster, tropical plant soil mix, desert palm nutrition, frond growth formula, landscape tree soil, organic palm blend, date fruit tree soil, palm potting soil, ornamental palms","🌴 Designed for Tropical Trees: Formulated specifically for palms, date trees, and exotic foliage plants.",💧 Moisture Retention & Drainage: Helps sandy soils hold water while improving aeration.,"🌿 Supports Deep Root Growth: Encourages strong trunks, lush fronds, and healthy canopy development.",🧱Mineral-Enriched Organic Formula: Feeds soil with essential nutrients and trace elements.,✅ Safe for Edible Date Varieties: Organic and chemical-free—ideal for food-bearing palm trees.,,,
PlantPal,PPL-7-5QT,24.99,"PlantPal Organic all Stage Nursery Potting Soil Mix Soil mix –  Seed starter, Propogation soil and general soil blend",,"🌱 Universal Soil Enhancer: Improves texture and fertility in clay, sand, and loamy soils alike.",💧 Optimizes Water Retention & Drainage: Prevents overwatering and root rot while reducing water loss.,🦠 Feeds Microbial Life: Supports beneficial bacteria and fungi that improve nutrient uptake.,"🧑‍🌾 Versatile & Easy to Use: Use alone or mix with compost, potting soil, or garden beds.","♻️ Organic & Sustainable: Free from synthetic chemicals—safe for people, pets, and pollinators.",,,
PlugBoost - Organic Seed Starter Mix - OMRI Listed,PGB-7-5QT,24.99,"PlugBoost Organic Seed Starter Soil Mix – OMRI Listed Soil for Seeds, Seedlings & Cuttings as a Seed Starter Mix","seed starter mix, OMRI seed mix, organic seedling soil, seed propagation soil, plug tray mix, cutting propagation soil, seed germination soil, tray starting mix, soil for seed trays, seed sprouting compost, plug soil organic, starting seeds mix, rooting mix for cuttings, organic plant starts, starter mix for seedlings",🌱 Fine-Textured for Germination: Designed for maximum seed-to-soil contact and moisture control.,💧 Retains Just Enough Moisture: Prevents damping off while keeping roots hydrated.,🦠 Enriched with Beneficial Microbes: Promotes healthy roots and fast seedling development.,✅ OMRI Listed & Organic: Free from synthetic additives—ideal for certified organic starts.,"🌿 Great for Plugs, Trays & Greenhouses: Works in propagation trays, grow pots, and starter cells.",,,
Pomona Blend Concentrated Organic Soil Amendment Fertilizer for Pome & Stone Fruit Trees,POM-9LB,33.99,"Pomona Blend Organic Fertilizer – Soil Amendment for Pome & Stone Fruit Trees (Apple, Peach, Plum, Apricot)","fruit tree fertilizer, apple tree fertilizer, peach tree soil, plum tree amendment, organic orchard compost, backyard fruit tree care, pome fruit blend, stone fruit fertilizer, bloom to fruit booster, natural fruit fertilizer, fruiting tree soil mix, fruit tree root growth, edible tree compost, garden orchard soil, sustainable fruit growing","🍑 For Pome & Stone Fruits: Designed to meet the nutritional needs of apples, pears, peaches, plums, and more.","🌳 Strengthens Tree Roots: Supports deep, resilient root systems and strong trunk growth.",🍎 Boosts Flowering & Fruiting: Encourages better bloom sets and increased fruit yields.,"💧 Improves Soil Health: Enhances water retention, microbial activity, and long-term fertility.","🌿 Safe & Organic: Made with natural ingredients—no synthetics, safe for edible crops.",,,
PropaGrow,PPG-7-5QT,24.99,"PropaGrow Organic Rooting & Propagation Soil Mix – Soil Blend for Clones, Cuttings & Transplants","cutting soil mix, propagation soil organic, cloning plant soil, root starter soil, transplant mix organic, rooting soil for cuttings, natural rooting blend, organic clone soil, seedling propagation mix, plant start soil, rooting cube alternative, gentle soil for propagation, OMRI propagation mix, greenhouse propagation soil, transplanting blend",✂️ Ideal for Cloning & Cuttings: Encourages fast root development in delicate starts and plant cuttings.,🧪 Balanced Drainage & Retention: Holds just enough moisture without waterlogging.,🌱 Supports Hormonal Rooting: Works great with natural rooting gels or on its own.,💪 Gentle Yet Nourishing: Provides early nutrients without overwhelming sensitive roots.,"♻️ Chemical-Free & Organic: OMRI-grade ingredients safe for food crops, herbs, and ornamentals.",,,
Ready Go Garden Organic Potting Soil,RGG-7-5QT,24.99,Ready Go Garden Organic Potting Soil – All-Purpose Potting Mix for Indoor & Outdoor Gardening,"organic potting soil, all purpose garden mix, vegetable potting soil, herb garden soil, raised bed mix, indoor plant potting mix, compost enriched soil, houseplant soil organic, outdoor potting blend, flower container soil, ready to use potting soil, sustainable garden soil, edible garden mix, organic soil for pots, garden bed filler","🌼 All-In-One Potting Mix: Ideal for raised beds, containers, garden boxes, and potted plants.",🌱 Enriched with Organic Matter: Feeds plants naturally with composted nutrients and microbial support.,💧 Moisture-Balanced: Prevents overwatering while holding just enough water at the root zone.,"🌿 Versatile for Indoors & Outdoors: Suitable for houseplants, edibles, ornamentals, and more.","✅ Chemical-Free & Ready to Use: 100% natural—no mixing, no additives, no guesswork.",,,
Seriokai's Secret Blend Concentrated Organic Soil Amendment Fertilizer for Avocado and Citrus Trees,SAI-9LB,33.99,"Seriokai’s Secret Organic Fertilizer – Soil Amendment for Avocado & Lime, Lemon, Grapefruit, Orange and Citrus Trees","avocado tree fertilizer, citrus fertilizer organic, lemon tree soil mix, orange tree compost, lime tree fertilizer, backyard orchard mix, edible fruit tree fertilizer, organic avocado booster, citrus fruit soil amendment, fruit tree nutrition blend, strong citrus trees, root booster for citrus, avocado compost mix, citrus tree organic food, edible grove fertilizer","🥑 Tailored for Avocado & Citrus: Supports deep-rooted, nutrient-hungry trees like lime, lemon, orange & avocado.","🌱 Encourages Rich Foliage & Fruit Set: Promotes lush green leaves, strong blossoms, and abundant fruiting.",🧪 Deep-Feeding Microbial Formula: Enhances soil biology for better nutrient cycling and uptake.,💧 Improves Water Retention: Keeps roots hydrated in sandy or fast-draining soils.,✅ Organic & Citrus-Safe: No synthetic fertilizers—suitable for edible fruit production.,,,
Silky Silt Saver Silt Soil Drought Blend,SLK-1CF,135.96,Silky Silt Saver – Organic Soil Amendment Fertilizer for Silt & Drought Soil Conditioner,"silt soil amendment, improve silt drainage, drought soil blend, heavy soil conditioner, fix waterlogged garden, clay-silt soil mix, sticky soil fix, silt garden mix, aeration blend for dense soils, compost for silt soil, organic blend for silt, drought tolerant silt soil, root access improvement, better draining silt soil, sustainable silt fix","🧱 Fixes Water-Stuck Silt Soils: Loosens fine, sticky particles to improve aeration and drainage.",💧 Water Management Focus: Retains moisture during dry spells while preventing compaction.,"🌿 Enhances Root Access: Encourages healthy root penetration in dense, silty soils.","✅ All-Natural & Sustainable: Chemical-free ingredients safe for raised beds, food crops & lawns.",🔁 Improves Soil Over Time: Builds long-term structure and fertility with repeated use.,,,
SKMicrosource,SKM-9LB,33.99,SKMicrosource – Sulfur and Potassium nutrient mix,,"🦠 Diverse Microbial Formula: Packed with beneficial bacteria, fungi, and microbe food sources.","🌱 Boosts Nutrient Availability: Improves nitrogen, phosphorus, and micronutrient uptake efficiency.","🧪 Builds Root-Zone Resilience: Helps plants resist disease, drought, and transplant shock.","💧 Works with All Soil Types: Ideal for compost teas, hydroponic transplants, gardens & pots.",✅ Organic & Clean: Free from synthetic additives—safe for food crops and regenerative farming.,,"Heart of Nature OMRI Product Description and Values ➢ SKM, Sulfur, Potassium (K) , Micronutrients, is sourced from Heart of Nature Mine in Tonopah, Nevada that is USDA OMRI registered (listed?). ➢ SKM contains sulfur, gypsum (CaSO4), potassium, aluminum, calcium, magnesium, and alum. ➢ SKM contains elemental sulfur and oxidized forms including sulfate-sulfur that is readily available to plants. ➢ SKM contains other plant nutrients especially including iron, zinc, manganese, copper, boron, molybdenum that are essential. ➢ SKM is an OMRI registered (listed?) soil amendment and plant nutrient source from an ancient volcano named the Heart of Nature. ➢ SKM is OMRI listed for all crops and can be blended with composts, mulches, animal manures that are cleared for crops grown organically. ➢ SKM from the mine is screened to 1/8 or 1/16 minus to produce SKM AG (SKMAG?)for broadcast applications. ➢ SKMUF (Ultra Fine) (Platinum?) is pulverized to produce solution grade particles sizes that range from 44 to 10 microns (20 microns or less?) for foliar applications. ➢ SKM is a natural soil amendment that has been proven to benefit the growth of plants. ➢ SKM contains rare earth elements that have been shown to increase plant growth. ➢ SKM has pH 2.5 to 3.5 and has proven to reduce the pH of water.",
Stoned Ape's Blend Concentrated Organic Soil Amendment Fertilizer and Mycorrhizal Root Enhancer,STO-9LB,33.99,"Stoned Ape’s Blend – Organic Soil Amendment Root Boost Fertilizer with Mycorrhizae fungi for Root Growth & Soil Health - Grapes, Yucca, ","mycorrhizal fertilizer, organic root enhancer, fungal soil booster, explosive root growth, permaculture soil, mushroom fertilizer, mycorrhizae for transplants, regenerative garden soil, soil intelligence blend, microbe powered fertilizer, natural root fungi, organic soil booster, no till garden amendment, stoned ape garden, high biology fertilizer",🍄 Loaded with Mycorrhizae: Promotes symbiotic root relationships for maximum nutrient uptake.,"🧠 Inspired by Natural Intelligence: Enhances plant resilience, growth speed & vigor.",🌱 Ideal for Transplants & Trees: Improves survival and growth post-transplantation.,💪 Organic & Performance-Focused: Zero synthetic ingredients—just biological power.,✅ Great for No-Till & Regenerative Gardens: Encourages long-term soil health.,,,
Succulent Success Succulent Potting Mix,SCC-7-5QT,24.99,"Succulent Success Potting Mix – Fast-Draining Soil for Succulents, Cactus & Houseplants - Indoor and Outdoor Mix","succulent soil, cactus mix, aloe potting soil, fast draining soil, gritty succulent mix, indoor cactus soil, desert plant mix, houseplant soil for succulents, sand-based potting mix, no rot succulent soil, succulent success soil, root stable cactus soil, water-saving plant soil, cactus potting mix organic, succulent blend",🌵 Perfect Drainage & Aeration: Prevents root rot in drought-loving plants.,"💚 Formulated for Cactus & Succulents: Keeps soil light, breathable, and low-retention.","🧪 Mineral-Rich Blend: Includes sand, grit & organics for root stability.",🌞 Sun-Lover Friendly: Supports optimal structure for high-light exposure.,✅ Ready to Use Out of the Bag: No mixing required—just pot and go.,,,
SuperBooster Concentrated Organic Soil Amendment Fertilizer,SBR-9LB,39.99,SuperBooster Organic Concentrated Fertilizer – Soil Amendment for Robust Plant Growth - Food plant growth enhancer,"organic super fertilizer, fast plant growth organic, fruiting plant booster, heavy feeder fertilizer, soil boosting amendment, grow booster organic, veg growth fertilizer, safe root fertilizer, concentrated organic fertilizer, high power plant food, super grow compost, compost alternative fertilizer, no burn organic plant food, garden growth enhancer, organic yield booster",🚀 Heavy-Duty Plant Food: Designed to rapidly accelerate growth in hungry plants.,"🌱 Organic, Safe & Concentrated: Feeds without burning roots or harming soil life.","💪 Great for Vegetables & Fruits: Supercharges fruiting, leafing & root development.",🌿 Improves Soil Microbiology: Long-term soil health with each application.,"✅ Versatile Application: Use in garden beds, pots, or field crops.",,add all vegetable keywords,
Tee Top Divot Repair Blend,TEE-9LB,33.99,"Tee Top Divot Repair Blend – Organic Turf Repair Soil for Golf Greens, Lawns & Sports Fields","golf turf repair mix, divot fill soil, turf patch blend, tee box repair, lawn repair soil, athletic field topdress, grass regrowth soil, turf recovery organic, fast grass fix, sod repair mix, pet safe lawn soil, organic lawn amendment, divot soil blend, fairway turf mix, sport field soil","⛳ Fast Turf Recovery: Repairs divots, wear spots, and damaged lawn areas.",🌱 Blended for Turf Resilience: Encourages grass regrowth and root stabilization.,💧 Moisture-Holding Formula: Retains water in shallow-root areas.,🏌️ Great for Golf Courses & Sports Fields: Used by professionals for turf repair.,✅ Safe for Pets & Players: Organic and non-toxic for public spaces.,,,
Tropic Treasure Tropical Plant Potting Mix,TRO-7-5QT,24.99,"Tropic Treasure Tropical Potting Mix – Rich Soil for Exotic Plants, Hibiscus & Monstera - Indoor plant mix","tropical plant soil, banana tree potting mix, hibiscus soil, heliconia mix, ginger plant potting soil, exotic plant potting mix, tropical houseplant soil, jungle mix potting soil, wet climate soil blend, lush leaf soil, tropical plant compost, rainforest potting mix, potting mix tropical blend, indoor tropical soil",🌴 Designed for Tropical Plants: Retains moisture while draining well.,"🍌 Ideal for Bananas, Hibiscus & Heliconias: Encourages lush leaves and bright blooms.",🌺 High Organic Matter Content: Feeds heavy feeders naturally.,🧪 Resists Compaction & Overwatering: Helps avoid root rot in humid climates.,"✅ Works Indoors & Outdoors: Great for balconies, conservatories, or tropical gardens.",,,
Turf Daddy Concentrated Organic Soil Amendment Fertilizer,TRF-9LB,33.99,"Turf Daddy Organic Lawn Fertilizer – Long Term Soil Amendment Fertilizer for long lasting greens, lawns and grass - overseeding fertilizer","organic lawn fertilizer, pet safe lawn food, grass booster soil, green lawn organic, bermuda grass soil amendment, turf daddy lawn mix, fescue fertilizer organic, lawn compaction fixer, kid safe turf fertilizer, drought grass amendment, thick grass lawn soil, topdress lawn mix, soil for zoysia, strong root lawn soil, lawn health amendment, overseeding fertilizer, overseed","🌱 Deep Greens, Strong Roots: Builds dense, healthy grass from the roots up.",💧 Moisture-Holding & Aerating: Supports drought resilience and water retention.,"💪 Fortifies Soil Structure: Reduces thatch, compaction, and dry spots.","🐾 Kid & Pet Safe: Non-toxic, fully organic ingredients.","✅ Use on All Grass Types: Works on Bermuda, Zoysia, Fescue & more.",,,
Zeolite,ZEO-9LB,33.99,"Zeolite Soil Conditioner – Natural Minerals for Water Retention & Nutrient Exchange, and drainage - Home garden, ","zeolite soil conditioner, volcanic mineral soil, water holding soil mix, improve cec soil, soil sponge amendment, natural nutrient holder, organic drought soil fix, nitrogen retention soil, zeolite garden additive, improve soil fertility, moisture retention mineral, grow media additive, compost enhancer, soil structure fixer, sustainable soil mineral, drainage",🧱Mineral-Rich Zeolite: Enhances cation exchange capacity (CEC) for nutrient storage.,💧 Water-Holding Power: Reduces drought stress by holding water near roots.,"🧪 Improves Fertilizer Efficiency: Locks in nitrogen, potassium & micronutrients.",🌱 Safe & Inert: Won’t burn plants or alter pH drastically.,"✅ Perfect for Soil Blends & Composting: Great additive for gardens, turf & grow media.",,"""ZEOLITE (Clinoptilolite)
Zeolite is an amazing natural mineral because of its extraordinary ability to absorb, hold, release, and exchange different chemicals, nutrients, toxins and ions according to need. Zeolite was formed from the glass component of volcanic ash millions of years ago, similarly to Bentonite.

Zeolite is a natural mineral and is often used as an organic agricultural and horticultural input. It carries a negative charge balanced by freely moving particles with positive charges, which provides an ideal trap for positive cations like nitrogen-rich ammonium and potassium which are then released to plants. This makes Zeolite an excellent fertilizer. Natural zeolite is also an excellent water filtration medium and soil amendment. It can also carry the efficiency of fertilizer and can continue to function as a water and nutrient reservoir in the soil indefinitely. The trace elements make it particularly useful as a soil, compost and fertilizer additive to attract, retain and slowly release critical plant nutrients.

A few industries that use our Zeolite are:""
https://pacificmineralsgroup.com/minerals/zeolite/",
